user_id,device_type,os_version,app_usage_pattern,timestamp,source_ip,destination_ip,protocol,data_volume,log_type,event,event_description,error_code,file_accessed,process,anomaly_detected,ioc
1,iPhone,iOS 14.6,Low,2023-10-17 06:18:28,192.168.1.49,10.0.0.9,HTTPS,190,system,App Install,Event 793,423,/tmp/malware.bin,malware.exe,Unknown Process Execution,Pegasus Signature
1,iPhone,Android 10,Normal,2023-12-02 12:33:49,192.168.1.99,10.0.0.99,FTP,5845,application,System Update,Event 551,637,/var/log/syslog,chrome.exe,Unknown Process Execution,Pegasus Signature
1,iPhone,Android 11,Normal,2023-09-08 21:52:20,192.168.1.57,10.0.0.19,SSH,3629,application,Logout,Event 278,168,/var/log/syslog,malware.exe,Suspicious File Access,None
1,iPhone,Android 11,High,2023-12-07 11:41:16,192.168.1.51,10.0.0.2,FTP,4575,security,App Crash,Event 126,567,/home/user/docs/report.docx,malware.exe,High CPU Usage,Known Malicious IP
1,Android,iOS 14.6,Normal,2023-10-07 21:54:25,192.168.1.94,10.0.0.86,SSH,1607,system,Logout,Event 308,115,/tmp/malware.bin,systemd,None,Known Malicious IP
1,iPhone,Android 10,Normal,2023-09-21 23:09:55,192.168.1.81,10.0.0.12,HTTPS,2242,security,App Crash,Event 8,616,/tmp/malware.bin,malware.exe,Suspicious File Access,Known Malicious IP
1,iPhone,Android 10,High,2023-08-19 01:43:03,192.168.1.74,10.0.0.65,FTP,6383,system,Logout,Event 410,478,/var/log/syslog,chrome.exe,Suspicious File Access,None
1,iPhone,Android 10,Low,2023-12-22 16:25:26,192.168.1.63,10.0.0.53,FTP,9701,system,System Update,Event 754,528,/var/log/syslog,systemd,Suspicious File Access,None
1,iPhone,iOS 15.0,High,2023-03-12 07:01:13,192.168.1.1,10.0.0.79,HTTP,9002,system,Logout,Event 192,915,/home/user/docs/report.docx,explorer.exe,High CPU Usage,Known Malicious IP
1,iPhone,iOS 14.6,Low,2023-08-13 19:47:12,192.168.1.40,10.0.0.63,HTTPS,861,security,File Access,Event 357,959,/home/user/docs/report.docx,chrome.exe,Suspicious File Access,None
2,iPhone,Android 10,Low,2023-02-22 16:52:24,192.168.1.19,10.0.0.60,HTTPS,7538,security,App Crash,Event 309,419,/tmp/malware.bin,systemd,High CPU Usage,Pegasus Signature
2,Android,iOS 14.6,Normal,2023-06-01 21:40:37,192.168.1.25,10.0.0.36,HTTPS,1944,application,System Update,Event 545,514,/tmp/malware.bin,malware.exe,Unknown Process Execution,Pegasus Signature
2,Android,Android 10,Normal,2023-05-02 18:24:57,192.168.1.45,10.0.0.64,HTTP,5784,security,Logout,Event 242,726,/var/log/syslog,malware.exe,Unknown Process Execution,Pegasus Signature
2,Android,iOS 14.6,Low,2023-06-04 17:08:29,192.168.1.83,10.0.0.13,HTTP,2180,security,Logout,Event 740,656,/var/log/syslog,systemd,High CPU Usage,Known Malicious IP
